starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 29 18:23:29 2021	1630229009	0	3604	3604	2831
Sun Aug 29 18:23:39 2021	1630229019	0	3607	3607	1961
Sun Aug 29 18:23:24 2021	1630229004	0	3608	3609	3183
Sun Aug 29 18:23:39 2021	1630229019	0	3609	3610	3399
Sun Aug 29 18:22:10 2021	1630228930	2	3609	3612	3554
Sun Aug 29 18:23:52 2021	1630229032	0	3615	3615	3440
Sun Aug 29 18:23:36 2021	1630229016	0	3620	3620	3330
Sun Aug 29 18:23:13 2021	1630228993	0	3626	3626	3525
Sun Aug 29 18:23:40 2021	1630229020	0	3632	3632	3578
Sun Aug 29 18:23:25 2021	1630229005	0	3633	3633	3566
Sun Aug 29 18:23:12 2021	1630228992	0	3646	3646	2916
Sun Aug 29 18:23:15 2021	1630228995	0	3647	3647	3560
Sun Aug 29 18:22:24 2021	1630228944	0	3648	3649	3104
Sun Aug 29 18:23:10 2021	1630228990	0	3658	3659	3543
Sun Aug 29 18:22:32 2021	1630228952	0	3669	3669	3552
Sun Aug 29 18:23:36 2021	1630229016	0	3670	3670	3110
Sun Aug 29 18:22:19 2021	1630228939	0	3678	3678	3618
Sun Aug 29 18:23:40 2021	1630229020	0	3686	3686	2881
Sun Aug 29 18:23:32 2021	1630229012	0	3697	3697	3477
Sun Aug 29 18:23:16 2021	1630228996	0	3699	3699	3076
Sun Aug 29 18:23:28 2021	1630229008	0	3700	3700	3614
Sun Aug 29 18:24:02 2021	1630229042	0	3702	3702	2401
Sun Aug 29 18:22:17 2021	1630228937	0	3703	3703	3468
Sun Aug 29 18:23:51 2021	1630229031	0	3709	3709	3040
Sun Aug 29 18:23:32 2021	1630229012	0	3710	3710	3591
Sun Aug 29 18:23:32 2021	1630229012	0	3720	3720	3527
Sun Aug 29 18:23:10 2021	1630228990	0	3725	3725	3425
Sun Aug 29 18:23:51 2021	1630229031	0	3726	3726	3538
Sun Aug 29 18:22:34 2021	1630228954	0	3737	3737	2979
Sun Aug 29 18:23:02 2021	1630228982	0	3756	3756	3568
Sun Aug 29 18:23:18 2021	1630228998	0	3764	3764	3138
Sun Aug 29 18:23:31 2021	1630229011	0	3765	3765	3165
