starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 29 18:17:59 2021	1630228679	0	4419	4419	3684
Sun Aug 29 18:17:33 2021	1630228653	0	4419	4419	4201
Sun Aug 29 18:17:53 2021	1630228673	0	4434	4434	4042
Sun Aug 29 18:16:57 2021	1630228617	0	4435	4435	4365
Sun Aug 29 18:18:25 2021	1630228705	0	4436	4436	4353
Sun Aug 29 18:17:59 2021	1630228679	0	4460	4460	3677
Sun Aug 29 18:16:57 2021	1630228617	0	4463	4463	4289
Sun Aug 29 18:19:09 2021	1630228749	0	4463	4463	3804
Sun Aug 29 18:18:46 2021	1630228726	0	4475	4475	3427
Sun Aug 29 18:18:28 2021	1630228708	0	4479	4479	3902
Sun Aug 29 18:18:22 2021	1630228702	0	4482	4482	3786
Sun Aug 29 18:17:34 2021	1630228654	0	4484	4484	3866
Sun Aug 29 18:18:15 2021	1630228695	0	4487	4488	3963
Sun Aug 29 18:16:53 2021	1630228613	0	4487	4488	4388
Sun Aug 29 18:19:03 2021	1630228743	0	4494	4494	4406
Sun Aug 29 18:16:49 2021	1630228609	0	4503	4503	4399
Sun Aug 29 18:18:08 2021	1630228688	0	4514	4514	3713
Sun Aug 29 18:18:47 2021	1630228727	1	4517	4517	3804
Sun Aug 29 18:18:55 2021	1630228735	0	4528	4528	3454
Sun Aug 29 18:18:00 2021	1630228680	0	4530	4530	4466
Sun Aug 29 18:18:29 2021	1630228709	0	4537	4537	4367
Sun Aug 29 18:18:09 2021	1630228689	0	4539	4539	3827
Sun Aug 29 18:17:58 2021	1630228678	0	4555	4555	3980
Sun Aug 29 18:16:48 2021	1630228608	6	4549	4555	3258
Sun Aug 29 18:17:34 2021	1630228654	0	4557	4557	4415
Sun Aug 29 18:18:07 2021	1630228687	0	4558	4558	3884
Sun Aug 29 18:16:57 2021	1630228617	0	4566	4566	4278
Sun Aug 29 18:18:26 2021	1630228706	0	4567	4567	3768
Sun Aug 29 18:18:28 2021	1630228708	0	4569	4569	4095
Sun Aug 29 18:17:30 2021	1630228650	0	4571	4571	3600
Sun Aug 29 18:16:48 2021	1630228608	5	4579	4584	4437
Sun Aug 29 18:19:10 2021	1630228750	0	4589	4589	3982
Sun Aug 29 18:18:26 2021	1630228706	1	4596	4597	3995
Sun Aug 29 18:17:28 2021	1630228648	0	4600	4600	3418
Sun Aug 29 18:17:28 2021	1630228648	0	4602	4602	4256
Sun Aug 29 18:16:48 2021	1630228608	10	4593	4603	2898
Sun Aug 29 18:19:09 2021	1630228749	0	4610	4610	2741
Sun Aug 29 18:17:57 2021	1630228677	0	4614	4615	3176
Sun Aug 29 18:18:27 2021	1630228707	0	4615	4615	4194
Sun Aug 29 18:19:08 2021	1630228748	0	4616	4616	3688
Sun Aug 29 18:18:57 2021	1630228737	0	4619	4619	4153
Sun Aug 29 18:16:52 2021	1630228612	0	4623	4623	3663
Sun Aug 29 18:16:58 2021	1630228618	0	4628	4628	3748
Sun Aug 29 18:18:27 2021	1630228707	0	4638	4638	4585
Sun Aug 29 18:19:09 2021	1630228749	0	4639	4640	3962
Sun Aug 29 18:18:00 2021	1630228680	0	4652	4653	3958
Sun Aug 29 18:18:08 2021	1630228688	0	4655	4655	4590
